id,filename,caption,category,color,tags,image_path
1,img_0001_car_01_red_ferrari_f8.jpg,Bright red Ferrari sports car parked on sunny mountain pass road,automotive,red,"car, ferrari, sports car, exotic, red, vehicle, luxury",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0001_car_01_red_ferrari_f8.jpg
2,img_0002_car_02_red_vintage_mustang.jpg,Classic red Ford Mustang vintage muscle car with chrome grill,automotive,red,"car, mustang, muscle car, vintage, classic car, red",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0002_car_02_red_vintage_mustang.jpg
3,img_0003_car_03_yellow_lamborghini_supercar.jpg,Yellow Lamborghini exotic supercar parked in modern showroom,automotive,yellow,"car, lamborghini, supercar, exotic, yellow, fast",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0003_car_03_yellow_lamborghini_supercar.jpg
4,img_0004_car_04_black_porsche_911.jpg,Sleek black Porsche 911 sports coupe on open highway,automotive,black,"car, porsche, sports car, black, luxury, german",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0004_car_04_black_porsche_911.jpg
5,img_0005_car_05_white_convertible_coupe.jpg,White convertible cabriolet sports car parked by coastal beach,automotive,white,"car, convertible, white, sports car, cabriolet, coastal",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0005_car_05_white_convertible_coupe.jpg
6,img_0006_car_06_blue_bmw_m4.jpg,Cobalt blue BMW modern luxury sports coupe parked in city street,automotive,blue,"car, bmw, coupe, blue, sedan, luxury",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0006_car_06_blue_bmw_m4.jpg
7,img_0007_car_07_silver_mercedes_amg.jpg,Silver Mercedes AMG sports car under dramatic studio lighting,automotive,silver,"car, mercedes, silver, amg, luxury car, coupe",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0007_car_07_silver_mercedes_amg.jpg
8,img_0008_car_08_blue_offroad_suv.jpg,Rugged blue 4x4 offroad SUV climbing rocky mountain trail,automotive,blue,"car, suv, 4x4, offroad, truck, blue, trail",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0008_car_08_blue_offroad_suv.jpg
9,img_0009_car_09_matte_black_audi_r8.jpg,Matte black Audi R8 supercar parked outdoors under streetlights,automotive,black,"car, audi, supercar, black, r8, luxury",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0009_car_09_matte_black_audi_r8.jpg
10,img_0010_car_10_white_tesla_electric_sedan.jpg,White Tesla electric luxury sedan charging at urban station,automotive,white,"car, tesla, electric car, sedan, white, ev",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0010_car_10_white_tesla_electric_sedan.jpg
11,img_0011_car_11_orange_pickup_truck.jpg,Heavy duty orange pickup truck driving across desert sands,automotive,orange,"car, truck, pickup, offroad, orange, desert",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0011_car_11_orange_pickup_truck.jpg
12,img_0012_car_12_black_gwagon_luxury_suv.jpg,Glossy black Mercedes G-Wagon luxury SUV parked in city downtown,automotive,black,"car, suv, g-wagon, black, luxury, 4x4",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0012_car_12_black_gwagon_luxury_suv.jpg
13,img_0013_car_13_vintage_orange_beetle.jpg,Retro classic orange Volkswagen Beetle car parked on sunny avenue,automotive,orange,"car, beetle, vintage, retro, classic, orange",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0013_car_13_vintage_orange_beetle.jpg
14,img_0014_car_14_red_dodge_challenger.jpg,Deep red Dodge Challenger muscle car with aggressive front grille,automotive,red,"car, challenger, dodge, muscle car, red",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0014_car_14_red_dodge_challenger.jpg
15,img_0015_car_15_silver_sports_car.jpg,Modern silver sports car parked in empty asphalt parking lot,automotive,silver,"car, silver, coupe, sports car, automotive",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0015_car_15_silver_sports_car.jpg
16,img_0016_car_16_blue_sports_coupe.jpg,Electric blue luxury coupe parked beside architectural glass building,automotive,blue,"car, blue, luxury, coupe, modern",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0016_car_16_blue_sports_coupe.jpg
17,img_0017_car_17_black_luxury_sedan.jpg,Executive black luxury sedan driving along waterfront boulevard,automotive,black,"car, sedan, black, luxury, executive",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0017_car_17_black_luxury_sedan.jpg
18,img_0018_car_18_yellow_sports_coupe.jpg,Vibrant yellow sports coupe parked outside modern cafe,automotive,yellow,"car, yellow, sports car, fast, coupe",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0018_car_18_yellow_sports_coupe.jpg
19,img_0019_car_19_red_convertible_coastal.jpg,Bright red open-top convertible roadster overlooking blue ocean,automotive,red,"car, convertible, red, roadster, ocean",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0019_car_19_red_convertible_coastal.jpg
20,img_0020_car_20_vintage_green_classic.jpg,Classic British racing green vintage sports car with wire wheels,automotive,green,"car, vintage, green, classic car, antique",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0020_car_20_vintage_green_classic.jpg
21,img_0021_bike_01_red_mountain_bike.jpg,Red all-terrain mountain bike bicycle leaning against forest tree,bicycles_motorcycles,red,"bike, bicycle, mountain bike, cycling, red, trail",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0021_bike_01_red_mountain_bike.jpg
22,img_0022_bike_02_black_road_racing_bike.jpg,Matte black lightweight road racing bicycle on smooth asphalt,bicycles_motorcycles,black,"bike, bicycle, road bike, racing, cycling, black",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0022_bike_02_black_road_racing_bike.jpg
23,img_0023_bike_03_vintage_cafe_motorcycle.jpg,Classic black and chrome vintage cafe racer motorcycle,bicycles_motorcycles,black,"motorcycle, motorbike, vintage, cafe racer, black, bike",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0023_bike_03_vintage_cafe_motorcycle.jpg
24,img_0024_bike_04_yellow_city_cruiser.jpg,Vibrant yellow urban commuter city bicycle with basket,bicycles_motorcycles,yellow,"bike, bicycle, city bike, yellow, urban, commuting",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0024_bike_04_yellow_city_cruiser.jpg
25,img_0025_bike_05_blue_gravel_touring_bike.jpg,Blue gravel touring bicycle parked on scenic mountain path,bicycles_motorcycles,blue,"bike, bicycle, touring, gravel bike, blue, outdoor",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0025_bike_05_blue_gravel_touring_bike.jpg
26,img_0026_bike_06_orange_bmx_stunt_bike.jpg,Orange freestyle BMX stunt bike in outdoor skate park,bicycles_motorcycles,orange,"bike, bicycle, bmx, stunt, orange",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0026_bike_06_orange_bmx_stunt_bike.jpg
27,img_0027_bike_07_red_cruiser_motorcycle.jpg,Polished red custom chopper motorcycle parked on city street,bicycles_motorcycles,red,"motorcycle, motorbike, red, chopper, cruiser, bike",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0027_bike_07_red_cruiser_motorcycle.jpg
28,img_0028_bike_08_white_electric_scooter.jpg,Modern white electric city commuter bike parked in downtown,bicycles_motorcycles,white,"bike, bicycle, electric bike, e-bike, white",C:\Users\Monish Gowda\OneDrive\Desktop\New folder\dataset\images\img_0028_bike_08_white_electric_scooter.jpg
